NovelId,ChapterNumber,ChapterName,DateAdded
1,1,The Baker Street Call,2023-03-05 08:00:00
1,2,A Curious Clue,2023-03-12 09:00:00
1,3,Into the Fog,2023-03-21 10:00:00
1,4,The First Suspect,2023-04-01 08:30:00
1,5,Shadows and Lies,2023-04-10 11:00:00
1,6,A Hidden Connection,2023-04-20 14:00:00
1,7,The Chase Begins,2023-05-02 09:00:00
1,8,Closing the Net,2023-05-15 10:00:00
1,9,The Final Deduction,2023-06-01 13:00:00
1,10,Justice Served,2023-06-20 15:00:00
2,1,The River Awakens,2023-01-25 09:00:00
2,2,Muddy Waters,2023-02-03 10:00:00
2,3,Strangers on the Bank,2023-02-14 11:00:00
2,4,The Old Ferryman,2023-02-26 09:30:00
2,5,Storm on the Mississippi,2023-03-10 14:00:00
2,6,A Town Without Law,2023-03-25 10:00:00
2,7,The Hidden Cargo,2023-04-08 11:00:00
2,8,Downriver,2023-04-22 09:00:00
2,9,The Last Bend,2023-05-07 13:00:00
2,10,Home Again,2023-05-22 15:00:00
3,1,The First Storm,2023-05-30 08:00:00
3,2,A Bitter Meeting,2023-06-08 09:00:00
3,3,Shadows on the Moor,2023-06-19 10:00:00
3,4,Old Wounds,2023-07-01 08:00:00
3,5,The Locked Room,2023-07-14 11:00:00
3,6,Winter's Embrace,2023-07-28 14:00:00
3,7,A Cruel Heart,2023-08-10 09:00:00
3,8,Lost in the Dark,2023-08-25 10:00:00
3,9,The Final Letter,2023-09-08 13:00:00
3,10,After the Storm,2023-09-24 15:00:00
4,1,The New Order,2023-07-18 09:00:00
4,2,Citizens of the Grid,2023-07-28 10:00:00
4,3,Room 101 Revisited,2023-08-08 11:00:00
4,4,The Underground,2023-08-20 09:00:00
4,5,Cracks in the System,2023-09-02 14:00:00
4,6,A Dangerous Broadcast,2023-09-15 10:00:00
4,7,The Resistance Grows,2023-09-29 11:00:00
4,8,Into the Outer Zones,2023-10-12 09:00:00
4,9,The Truth Revealed,2023-10-27 13:00:00
4,10,A World Reborn,2023-11-10 15:00:00
5,1,The Next Generation,2023-08-09 08:00:00
5,2,First Day at School,2023-08-19 09:00:00
5,3,The Old Spell,2023-09-01 10:00:00
5,4,A Familiar Danger,2023-09-15 08:00:00
5,5,The Forbidden Archive,2023-09-29 11:00:00
5,6,A New Alliance,2023-10-14 14:00:00
5,7,Dark Magic Rising,2023-10-28 09:00:00
5,8,The Mentor's Secret,2023-11-11 10:00:00
5,9,The Final Trial,2023-11-25 13:00:00
5,10,Legacy Fulfilled,2023-12-09 15:00:00
6,1,The World Beyond,2023-09-21 09:00:00
6,2,The Gathering Storm,2023-10-02 10:00:00
6,3,A Warrior's Oath,2023-10-14 11:00:00
6,4,The Ancient Map,2023-10-27 09:00:00
6,5,Into the Wilds,2023-11-09 14:00:00
6,6,The Enemy Revealed,2023-11-22 10:00:00
6,7,Battle at the Gates,2023-12-06 11:00:00
6,8,The Cost of War,2023-12-20 09:00:00
6,9,The Storm Unleashed,2024-01-05 13:00:00
6,10,Peace and Ashes,2024-01-20 15:00:00
7,1,One Last Case,2023-11-06 08:00:00
7,2,A Body in the Library,2023-11-17 09:00:00
7,3,The First Interview,2023-11-28 10:00:00
7,4,A Missing Key,2023-12-10 08:00:00
7,5,The Detective's Doubt,2023-12-22 11:00:00
7,6,A Second Death,2024-01-05 14:00:00
7,7,Unraveling the Web,2024-01-19 09:00:00
7,8,The Trap is Set,2024-02-02 10:00:00
7,9,Caught in the Act,2024-02-16 13:00:00
7,10,The Final Clue Revealed,2024-03-01 15:00:00
8,1,Departure from Earth,2023-11-28 09:00:00
8,2,The Outer Rim,2023-12-08 10:00:00
8,3,First Contact,2023-12-20 11:00:00
8,4,The Signal,2024-01-03 09:00:00
8,5,A Strange Intelligence,2024-01-17 14:00:00
8,6,The Crew Divides,2024-02-01 10:00:00
8,7,Into the Nebula,2024-02-15 11:00:00
8,8,The Mind Network,2024-03-01 09:00:00
8,9,War Among Stars,2024-03-16 13:00:00
8,10,A New Horizon,2024-04-01 15:00:00
9,1,Out to Sea,2023-12-12 08:00:00
9,2,The Calm Before,2023-12-22 09:00:00
9,3,Lost at Sea,2024-01-05 10:00:00
9,4,Days Without Water,2024-01-18 08:00:00
9,5,A Distant Shore,2024-02-01 11:00:00
9,6,The Silence Speaks,2024-02-15 14:00:00
9,7,Reckoning,2024-03-01 09:00:00
9,8,A Rescue at Dawn,2024-03-16 10:00:00
9,9,Return to Land,2024-04-01 13:00:00
9,10,What the Sea Leaves,2024-04-18 15:00:00
10,1,Guilt,2024-01-17 09:00:00
10,2,The First Confession,2024-01-27 10:00:00
10,3,Shadows of the Past,2024-02-07 11:00:00
10,4,A Breaking Mind,2024-02-19 09:00:00
10,5,The Interrogation,2024-03-03 14:00:00
10,6,Buried Truths,2024-03-17 10:00:00
10,7,The Edge of Reason,2024-03-31 11:00:00
10,8,Descent,2024-04-14 09:00:00
10,9,The Reckoning,2024-04-28 13:00:00
10,10,Absolution,2024-05-12 15:00:00
11,1,Letters from the Front,2024-02-09 09:00:00
11,2,A Love Interrupted,2024-02-20 10:00:00
11,3,The Battlefield,2024-03-03 11:00:00
11,4,A Brief Peace,2024-03-16 09:00:00
11,5,The Second Offensive,2024-03-30 14:00:00
11,6,Waiting at Home,2024-04-13 10:00:00
11,7,Reunion,2024-04-27 11:00:00
11,8,A Heart at War,2024-05-11 09:00:00
12,1,Something in the Dark,2024-03-25 08:00:00
12,2,The First Disappearance,2024-04-05 09:00:00
12,3,Strange Noises,2024-04-17 10:00:00
12,4,The Town Awakens,2024-04-30 08:00:00
12,5,Into the Woods,2024-05-13 11:00:00
12,6,A Night Without End,2024-05-27 14:00:00
12,7,The Source of Fear,2024-06-10 09:00:00
12,8,Last Light,2024-06-24 10:00:00
13,1,Entering the Dream,2024-04-08 09:00:00
13,2,The Waking Realm,2024-04-19 10:00:00
13,3,A Dreamer's Guide,2024-05-02 11:00:00
13,4,The Nightmare's Edge,2024-05-15 09:00:00
13,5,Lost in the Subconscious,2024-05-29 14:00:00
13,6,The Dream Warden,2024-06-12 10:00:00
13,7,Breaking Through,2024-06-27 11:00:00
13,8,Wake Up Call,2024-07-11 09:00:00
