UploadedByUserId,AuthorName,NovelName,Description,DatePosted
12,Jane Austen,Pride and Prejudice Reimagined,A modern retelling of a classic romance,2023-02-14 10:22:31
7,Arthur Conan Doyle,Shadow of Sherlock,A new mystery inspired by Holmes,2023-03-01 14:05:12
25,Mark Twain,Mississippi Tales,Adventures along the great river,2023-01-19 09:11:45
44,Emily Brontë,Winds of Wuthering,A dark and stormy romance,2023-05-23 18:44:02
3,George Orwell,Neo 2084,A dystopian future revisited,2023-07-11 12:33:56
18,J.K. Rowling,Wizarding Legacy,A new generation of magic users,2023-08-02 16:20:10
31,Brandon Sanderson,Storms of Eternity,Epic fantasy with vast worlds,2023-09-14 11:05:27
9,Agatha Christie,The Final Clue,A detective solves her last case,2023-10-30 20:41:03
50,Isaac Asimov,Galactic Minds,Exploring intelligence across stars,2023-11-21 07:55:19
2,Ernest Hemingway,Sea of Silence,A quiet tale of struggle and sea,2023-12-05 13:17:44
15,Fyodor Dostoevsky,Sins of the Mind,Psychological drama of guilt,2024-01-10 09:42:11
27,Leo Tolstoy,War of Hearts,Love and conflict intertwined,2024-02-02 15:25:33
6,Stephen King,Night Terrors Rising,Horror awakens in a small town,2024-03-18 22:14:59
11,Neil Gaiman,Dreamwalkers,A journey through dreams,2024-04-01 08:33:47
42,Robin Hobb,Dragon’s Path,Fantasy tale of dragons and fate,2024-04-19 17:59:12
36,George R.R. Martin,Winter’s Echo,Political intrigue in cold lands,2024-05-03 19:22:08
1,Patrick Rothfuss,The Silent Name,A bard’s untold story,2024-05-20 10:11:51
23,Web Author A,Leveling Beyond,An RPG-style progression fantasy,2024-06-01 12:01:00
45,Web Author B,System Ascension,A hero rises through a system,2024-06-11 14:44:22
8,Web Author C,The Dungeon Core,A sentient dungeon grows power,2024-06-25 09:55:36
19,Web Author D,Reborn as a Slime King,Reincarnation with powers,2024-07-03 11:45:12
29,Web Author E,Infinite Mana,A mage breaks limits,2024-07-15 16:33:28
13,Web Author F,Chronicles of Grind,Slow growth and strategy,2024-07-28 20:12:09
39,Web Author G,The Last Summoner,Calling creatures to battle,2024-08-02 07:08:55
22,Web Author H,Path of the Sword,Swordsmanship and honor,2024-08-10 18:19:44
