UserId,ChapterId,CommentString,CommentPostedDate
3,1,Great opening chapter! Instantly hooked.,2023-03-07 10:00:00
7,1,The atmosphere here is incredible.,2023-03-10 14:30:00
12,2,The clue in this chapter was so subtle. Love it.,2023-03-15 09:00:00
19,2,I had to reread this twice to catch everything.,2023-03-16 11:00:00
5,3,The fog setting gave me chills.,2023-03-25 18:00:00
14,3,The writing feels very cinematic.,2023-03-28 20:00:00
28,4,I immediately suspected the wrong person.,2023-04-05 13:00:00
2,5,The lies are stacking up. Incredible tension.,2023-04-12 16:00:00
9,5,I cannot put this down.,2023-04-13 21:00:00
33,6,The hidden connection reveal was perfectly timed.,2023-04-23 09:30:00
41,7,The chase sequence was so well paced.,2023-05-05 17:00:00
6,8,Closing in on the truth. Edge of my seat.,2023-05-18 11:00:00
22,9,I was so sure I had figured it out but I was wrong.,2023-06-04 19:00:00
15,10,A perfect ending. Justice well served.,2023-06-25 08:00:00
8,10,One of the best mystery chapters I have read.,2023-06-27 20:00:00
1,11,The river descriptions are so vivid.,2023-01-27 10:00:00
17,12,Muddy Waters is a perfect chapter title.,2023-02-06 14:00:00
30,13,Never expected to meet that character here.,2023-02-18 09:00:00
44,14,The old ferryman stole the show.,2023-03-01 11:00:00
3,15,The storm felt real. Excellent writing.,2023-03-13 18:00:00
26,16,A town without law is such a great concept.,2023-03-28 15:00:00
11,17,What is in the cargo? I am desperate to know.,2023-04-11 20:00:00
39,18,Downriver flows so smoothly as a chapter.,2023-04-25 09:00:00
20,20,Home Again was bittersweet. Loved it.,2023-05-25 17:00:00
5,21,The moors feel alive in this chapter.,2023-06-02 13:00:00
29,22,The bitter meeting set the tone perfectly.,2023-06-12 16:00:00
7,23,So much tension between these two characters.,2023-06-22 11:00:00
43,24,Old wounds indeed. This hurt to read.,2023-07-04 09:00:00
16,25,The locked room mystery within a romance. Genius.,2023-07-18 21:00:00
2,26,The winter imagery in this chapter is beautiful.,2023-08-01 10:00:00
35,27,A cruel heart but I somehow still like them.,2023-08-14 14:00:00
49,28,Getting lost in the dark alongside the character.,2023-08-29 19:00:00
13,29,That final letter destroyed me emotionally.,2023-09-12 22:00:00
8,30,After the Storm was a perfect closing chapter.,2023-09-28 17:00:00
25,30,I read this whole thing in one sitting.,2023-10-01 11:00:00
18,31,The world building here is outstanding.,2023-07-22 09:00:00
40,32,Citizens of the Grid is such a chilling concept.,2023-08-01 13:00:00
6,33,This chapter reminded me so much of classic dystopian fiction.,2023-08-12 10:00:00
31,34,The underground feels claustrophobic in the best way.,2023-08-24 16:00:00
23,35,Every chapter raises the stakes even higher.,2023-09-06 20:00:00
47,36,A dangerous broadcast indeed. Gripping stuff.,2023-09-19 11:00:00
10,37,The resistance growing is so satisfying to read.,2023-10-03 14:00:00
4,38,Into the outer zones was terrifying.,2023-10-16 09:00:00
36,39,I did not expect that truth at all.,2023-10-30 18:00:00
21,40,A world reborn. What a journey this was.,2023-11-14 21:00:00
14,41,Love the next generation concept. Fresh take.,2023-08-13 10:00:00
38,42,First Day at School brought back memories.,2023-08-23 15:00:00
9,43,The old spell was a clever callback.,2023-09-05 11:00:00
27,44,A familiar danger lurking. Cannot look away.,2023-09-19 18:00:00
45,45,The forbidden archive is the best setting in any chapter so far.,2023-10-03 09:00:00
3,46,A new alliance forming is so exciting.,2023-10-18 14:00:00
19,47,Dark magic rising gave me goosebumps.,2023-11-01 20:00:00
32,48,The mentor has secrets? I need to know more.,2023-11-15 17:00:00
11,49,The final trial was intense from start to finish.,2023-11-29 09:00:00
24,50,Legacy Fulfilled. What a satisfying conclusion.,2023-12-13 13:00:00
1,51,The world building in this epic fantasy is unmatched.,2023-09-25 10:00:00
46,52,The gathering storm is both literal and metaphorical.,2023-10-06 14:00:00
8,53,A warrior's oath carries real weight here.,2023-10-18 19:00:00
33,54,The ancient map subplot is so intriguing.,2023-11-01 11:00:00
17,55,Into the wilds was breathtaking.,2023-11-13 16:00:00
42,56,The enemy reveal was shocking.,2023-11-26 21:00:00
29,57,Battle at the Gates was epic. Literally.,2023-12-10 09:00:00
6,58,The cost of war hit differently in this chapter.,2023-12-24 13:00:00
15,59,The storm unleashed was incredible to visualize.,2024-01-09 18:00:00
38,60,Peace and Ashes. What a title. What a chapter.,2024-01-24 11:00:00
22,61,One last case sets such a melancholy tone.,2023-11-10 09:00:00
5,62,A body in the library. Classic setup done perfectly.,2023-11-21 14:00:00
40,63,The first interview scene had great dialogue.,2023-12-02 10:00:00
13,64,A missing key feels like a metaphor for so many things.,2023-12-15 17:00:00
49,65,The detective's doubt was unexpected and refreshing.,2023-12-26 09:00:00
7,66,A second death raised the stakes massively.,2024-01-09 20:00:00
31,67,Unraveling the web is such satisfying reading.,2024-01-23 13:00:00
18,68,The trap is set. I am so nervous for the next chapter.,2024-02-06 18:00:00
2,69,Caught in the act was a masterful payoff.,2024-02-20 11:00:00
26,70,The final clue revealed. Perfectly done from start to finish.,2024-03-05 15:00:00
39,71,Departure from Earth felt emotional.,2023-12-01 10:00:00
